sample_idx,ts_ms,Ax,Ay,Az,Gx,Gy,Gz,vx,vy,vz,ax,ay,az,t,sx,sy,sz,fx,fy,fz
74,1772696445573,-0.10107421875,0.05078125,-0.96337890625,-0.18310546875,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.38,0,0,0,0,0,0
75,1772696445583,-0.10107421875,0.05078125,-0.96337890625,-0.18310546875,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.38,0,0,0,0,0,0
76,1772696445593,-0.10107421875,0.05078125,-0.96337890625,-0.18310546875,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.38,0,0,0,0,0,0
77,1772696445604,-0.10107421875,0.05078125,-0.96337890625,-0.18310546875,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.38,0,0,0,0,0,0
78,1772696445614,-0.10107421875,0.05078125,-0.96337890625,-0.18310546875,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.38,0,0,0,0,0,0
79,1772696445624,-0.10107421875,0.05078125,-0.96337890625,-0.18310546875,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.38,0,0,0,0,0,0
80,1772696445635,-0.10107421875,0.05078125,-0.96337890625,-0.18310546875,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.38,0,0,0,0,0,0
81,1772696445645,-0.10107421875,0.05078125,-0.96337890625,-0.18310546875,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.38,0,0,0,0,0,0
82,1772696445656,-0.10107421875,0.05078125,-0.96337890625,-0.18310546875,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.38,0,0,0,0,0,0
83,1772696445666,-0.10107421875,0.05078125,-0.96337890625,-0.18310546875,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.38,0,0,0,0,0,0
84,1772696445677,-0.10107421875,0.05078125,-0.96337890625,-0.18310546875,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.38,0,0,0,0,0,0
85,1772696445687,-0.10107421875,0.05078125,-0.96337890625,-0.18310546875,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.38,0,0,0,0,0,0
86,1772696445698,-0.10107421875,0.05078125,-0.96337890625,-0.18310546875,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.38,0,0,0,0,0,0
87,1772696445708,-0.10107421875,0.05078125,-0.96337890625,-0.18310546875,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.38,0,0,0,0,0,0
88,1772696445718,-0.10107421875,0.05078125,-0.96337890625,-0.18310546875,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.38,0,0,0,0,0,0
89,1772696445729,-0.1005859375,0.05224609375,-0.96240234375,-0.1220703125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,26.32,0,0,0,0,0,0
90,1772696445739,-0.1005859375,0.05224609375,-0.96240234375,-0.1220703125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,26.32,0,0,0,0,0,0
91,1772696445749,-0.1005859375,0.05224609375,-0.96240234375,-0.1220703125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,26.32,0,0,0,0,0,0
92,1772696445760,-0.1005859375,0.05224609375,-0.96240234375,-0.1220703125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,26.32,0,0,0,0,0,0
93,1772696445770,-0.1005859375,0.05224609375,-0.96240234375,-0.1220703125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,26.32,0,0,0,0,0,0
94,1772696445780,-0.1005859375,0.05224609375,-0.96240234375,-0.1220703125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,26.32,0,0,0,0,0,0
95,1772696445791,-0.1005859375,0.05224609375,-0.96240234375,-0.1220703125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,26.32,0,0,0,0,0,0
96,1772696445801,-0.1005859375,0.05224609375,-0.96240234375,-0.1220703125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,26.32,0,0,0,0,0,0
97,1772696445812,-0.1005859375,0.05224609375,-0.96240234375,-0.1220703125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,26.32,0,0,0,0,0,0
98,1772696445822,-0.1005859375,0.05224609375,-0.96240234375,-0.1220703125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,26.32,0,0,0,0,0,0
99,1772696445832,-0.1005859375,0.05224609375,-0.96240234375,-0.1220703125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,26.32,0,0,0,0,0,0
100,1772696445844,-0.1005859375,0.05224609375,-0.96240234375,-0.1220703125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,26.32,0,0,0,0,0,0
101,1772696445854,-0.1005859375,0.05224609375,-0.96240234375,-0.1220703125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,26.32,0,0,0,0,0,0
102,1772696445864,-0.1005859375,0.05224609375,-0.96240234375,-0.1220703125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,26.32,0,0,0,0,0,0
103,1772696445875,-0.1005859375,0.05224609375,-0.96240234375,-0.1220703125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,26.32,0,0,0,0,0,0
104,1772696445885,-0.1005859375,0.05224609375,-0.96240234375,-0.1220703125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,26.32,0,0,0,0,0,0
105,1772696445896,-0.1005859375,0.05224609375,-0.96240234375,-0.1220703125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,26.32,0,0,0,0,0,0
106,1772696445906,-0.1005859375,0.05224609375,-0.96240234375,-0.1220703125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,26.32,0,0,0,0,0,0
107,1772696445916,-0.1005859375,0.05224609375,-0.96240234375,-0.1220703125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,26.32,0,0,0,0,0,0
108,1772696445927,-0.1015625,0.04931640625,-0.9638671875,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
109,1772696445937,-0.1015625,0.04931640625,-0.9638671875,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
110,1772696445948,-0.1015625,0.04931640625,-0.9638671875,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
111,1772696445958,-0.1015625,0.04931640625,-0.9638671875,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
112,1772696445968,-0.1015625,0.04931640625,-0.9638671875,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
113,1772696445979,-0.1015625,0.04931640625,-0.9638671875,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
114,1772696445989,-0.1015625,0.04931640625,-0.9638671875,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
115,1772696446000,-0.1015625,0.04931640625,-0.9638671875,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
116,1772696446010,-0.1015625,0.04931640625,-0.9638671875,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
117,1772696446020,-0.1015625,0.04931640625,-0.9638671875,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
118,1772696446031,-0.1015625,0.04931640625,-0.9638671875,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
119,1772696446041,-0.1015625,0.04931640625,-0.9638671875,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
120,1772696446052,-0.1015625,0.04931640625,-0.9638671875,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
121,1772696446062,-0.1015625,0.04931640625,-0.9638671875,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
122,1772696446072,-0.1015625,0.04931640625,-0.9638671875,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
123,1772696446083,-0.1015625,0.04931640625,-0.9638671875,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
124,1772696446093,-0.1015625,0.04931640625,-0.9638671875,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
125,1772696446103,-0.1015625,0.04931640625,-0.9638671875,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
126,1772696446114,-0.1015625,0.04931640625,-0.9638671875,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
127,1772696446124,-0.11279296875,0.0546875,-0.9619140625,-0.244140625,0.54931640625,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,1,1,0,0,0,0
128,1772696446134,-0.11279296875,0.0546875,-0.9619140625,-0.244140625,0.54931640625,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,1,1,0,0,0,0
129,1772696446145,-0.11279296875,0.0546875,-0.9619140625,-0.244140625,0.54931640625,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,1,1,0,0,0,0
130,1772696446157,-0.11279296875,0.0546875,-0.9619140625,-0.244140625,0.54931640625,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,1,1,0,0,0,0
131,1772696446167,-0.11279296875,0.0546875,-0.9619140625,-0.244140625,0.54931640625,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,1,1,0,0,0,0
132,1772696446178,-0.11279296875,0.0546875,-0.9619140625,-0.244140625,0.54931640625,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,1,1,0,0,0,0
133,1772696446192,-0.11279296875,0.0546875,-0.9619140625,-0.244140625,0.54931640625,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,1,1,0,0,0,0
134,1772696446202,-0.11279296875,0.0546875,-0.9619140625,-0.244140625,0.54931640625,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,1,1,0,0,0,0
135,1772696446213,-0.11279296875,0.0546875,-0.9619140625,-0.244140625,0.54931640625,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,1,1,0,0,0,0
136,1772696446223,-0.11279296875,0.0546875,-0.9619140625,-0.244140625,0.54931640625,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,1,1,0,0,0,0
137,1772696446233,-0.11279296875,0.0546875,-0.9619140625,-0.244140625,0.54931640625,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,1,1,0,0,0,0
138,1772696446244,-0.11279296875,0.0546875,-0.9619140625,-0.244140625,0.54931640625,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,1,1,0,0,0,0
139,1772696446254,-0.11279296875,0.0546875,-0.9619140625,-0.244140625,0.54931640625,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,1,1,0,0,0,0
140,1772696446264,-0.11279296875,0.0546875,-0.9619140625,-0.244140625,0.54931640625,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,1,1,0,0,0,0
